Strain	p11	p0006	p0017	p0017S	p002y	p003p	p0040	pyo
NRS170	0.878	0.2192	0.165333333	0.1619	0.1859	0.1604	0.7387	0.276777778
NRS172	0.7677	0.346	0.8985	0.5314	0.3424	0.3262	0.3861	0.256555556
NRS174	0.9386	0.2792	0.572166667	0.1855	0.2091	0.1861	0.8215	0.462777778
NRS175	0.9599	0.6886	0.467166667	0.4639	0.3654	0.3239	0.6667	0.295555556
NRS177	0.9056	0.2715	0.623166667	0.2627	0.1856	0.3212	0.7174	0.445111111
NRS178	0.8809	0.3462	0.844333333	0.2558	0.2323	0.2545	0.6313	0.413777778
NRS180	0.9432	0.9605	0.502	0.1822	0.4223	0.4279	0.7527	0.184555556
NRS182	1.0422	0.2763	0.827666667	0.1848	0.1676	0.1721	0.7891	0.412777778
NRS183	0.7981	0.3219	0.824333333	0.341	0.2346	0.2503	0.7778	0.451777778
NRS185	0.8829	0.4573	0.846666667	0.3382	0.2612	0.3134	0.6873	0.266555556
NRS187	0.8882	0.7893	0.203333333	0.3538	0.4374	0.4117	0.6458	0.528888889
NRS188	0.6589	0.5414	0.870333333	0.5074	0.4549	0.4058	0.4042	0.268
NRS189	0.7329	0.3786	0.6005	0.2186	0.2156	0.2134	0.5018	0.215222222
NRS191	0.9111	0.5673	0.6245	0.326	0.2923	0.2739	0.7238	0.369444444
NRS192	0.8352	0.3743	0.393666667	0.2109	0.2034	0.1998	0.341	0.223111111
NRS194	1.024	0.435	0.350333333	0.2132	0.1795	0.1938	0.3993	0.283666667
NRS196	0.7887	0.2138	0.722333333	0.1999	0.191	0.1891	0.8212	0.334222222
NRS198	0.5099	0.4899	1.078333333	0.3919	0.3584	0.3482	0.2887	0.430777778
NRS199	0.7629	0.3373	0.937833333	0.2094	0.2123	0.2157	0.7857	0.350111111
NRS201	0.5635	0.3062	1.021166667	0.3184	0.2576	0.2577	0.5573	0.213444444
NRS202	0.4148	0.2736	0.790833333	0.2689	0.2379	0.2228	0.281	0.228111111
NRS203	0.4014	0.2746	0.247333333	0.1986	0.1888	0.1888	0.3356	0.176222222
NRS204	0.529	0.2964	0.765333333	0.2456	0.2797	0.1912	0.3844	0.220111111
NRS205	0.8961	0.8313	0.637333333	0.378	0.634	0.5734	0.9099	0.779888889
NRS207	1.0284	0.2806	1.006333333	0.2589	0.161	0.1578	0.9712	0.180888889
NRS209	0.8992	0.7382	1.0185	0.9152	0.8462	0.8199	0.6109	0.218444444
NRS210	0.9682	0.2166	0.766166667	0.2008	0.195	0.1837	0.9453	0.329
NRS211	0.9952	0.3192	1.019833333	0.2468	0.208	0.222	0.9655	0.315888889
NRS212	0.9189	0.206	0.528833333	0.1859	0.217	0.1631	0.8747	0.183444444
NRS213	0.896	0.1783	0.468333333	0.1739	0.1677	0.1694	0.8228	0.306888889
NRS214	0.6185	0.2894	0.997833333	0.2935	0.1969	0.2577	0.5806	0.322222222
NRS215	0.6346	0.2214	0.511333333	0.21	0.1938	0.177	0.6703	0.235111111
NRS216	0.9679	0.962	0.456166667	0.3485	0.4343	0.4107	0.8683	0.240666667
NRS217	0.8539	0.3286	0.261666667	0.2087	0.2208	0.1979	0.6462	0.437444444
NRS218	0.8143	0.4737	0.821166667	0.4607	0.4453	0.4244	0.4735	0.372444444
NRS219	0.8841	0.5735	0.908833333	0.4524	0.3888	0.3843	0.7968	0.303111111
NRS220	0.844	0.4641	0.720333333	0.2391	0.2847	0.2893	0.7381	0.286222222
NRS222	0.8984	0.3124	0.412666667	0.2035	0.2202	0.2389	0.692	0.251111111
NRS223	1.0292	0.4029	0.886833333	0.2642	0.2643	0.2887	0.9931	0.264111111
NRS224	0.6832	0.2883	0.620333333	0.2059	0.2067	0.1902	0.7478	0.321222222
NRS225	0.9783	0.3506	0.782166667	0.1776	0.1613	0.167	0.9545	0.161111111
NRS226	0.415	0.3251	0.807	0.2894	0.2729	0.2472	0.3934	0.190555556
NRS227	0.9452	0.556	0.315333333	0.3819	0.3189	0.3118	0.6372	0.266777778
NRS230	0.8686	0.3404	0.772166667	0.195	0.2526	0.2023	0.6925	0.272444444
NRS231	0.9991	0.2556	0.4945	0.185	0.2259	0.2232	0.6478	0.411777778
NRS232	0.775	0.9026	0.337	0.3283	0.4997	0.5315	0.5814	0.191888889
NRS233	0.8725	0.3068	0.421833333	0.1972	0.2201	0.2136	0.7279	0.342888889
NRS235	0.8735	0.4775	0.486	0.2857	0.4005	0.3237	0.7562	0.339
NRS236	0.8194	0.6894	0.2975	0.2433	0.3835	0.3884	0.524	0.611444444
NRS237	0.7491	0.2354	0.1965	0.1594	0.1629	0.1579	0.6542	0.210111111
NRS239	0.8101	0.2231	0.2665	0.153	0.1509	0.1552	0.5162	0.149
NRS240	0.7359	0.701	0.912833333	0.4926	0.3245	0.318	0.6925	0.233888889
NRS241	0.9118	0.9103	0.2805	0.6447	0.4282	0.394	0.5658	0.361777778
NRS242	0.9674	0.5747	0.951	0.4218	0.4402	0.3455	0.8782	0.364111111
NRS243	0.6449	0.3238	0.627166667	0.1875	0.1828	0.1713	0.5992	0.212111111
NRS245	0.751	0.6242	0.921	0.3575	0.3151	0.3167	0.7504	0.254222222
NRS246	1.0345	1.0579	0.6055	0.4237	0.3893	0.3463	0.8989	0.352111111
NRS247	0.9027	0.3483	0.486	0.2043	0.1856	0.1893	0.5666	0.356888889
